id,name,producer,category,subcategory,amount,status,fillLevel,origin,flavorTags,usageTags,styleTags,guestTags,originTags,descriptionShort,descriptionLong,tastingNotes,bestUse,serving,notes
csv-023-kirsche,Kirsche,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Fruchtig | Trocken,Digestif,Edelbrand / Geist,,,"Kirsche ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.",,,,,
csv-024-marille,Marille,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Fruchtig | Trocken,Digestif,Edelbrand / Geist,,,"Marille ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.",,,,,
csv-025-alte-waldhimbeere,Alte Waldhimbeere,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Fruchtig | Trocken,Digestif,Edelbrand / Geist,,,"Alte Waldhimbeere ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.",,,,,
csv-026-alte-williams-christ-birne,Alte Williams-Christ-Birne,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Fruchtig | Trocken,Digestif,Edelbrand / Geist,,,"Alte Williams-Christ-Birne ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.",,,,,
csv-027-alter-bodensee-apfel,Alter Bodensee-Apfel,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Fruchtig | Trocken,Digestif,Edelbrand / Geist,,,"Alter Bodensee-Apfel ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Fruchtig, Trocken. Nutzung: Digestif.",,,,,
csv-028-spatburgunder-trester,Spätburgunder Trester,,Edelbrand / Geist,Grappa,1 Flasche,Geöffnet,100%,,Trocken,Digestif,Edelbrand / Geist,,,6 Jahre im Barrique gereift,,,,,
csv-029-maraschino-cherries,Maraschino Cherries,Starlino,Garnish,Cocktailkirschen,1 Flasche,Geöffnet,100%,,Süß | Fruchtig,Modifier,Garnish,,,"Maraschino Cherries ist als Garnish / Cocktailkirschen eingeordnet. Geschmack: Süß, Fruchtig. Nutzung: Modifier.",,,,,
csv-030-sapphire-premier-cru,Sapphire Premier Cru,Bombay Sapphire,Gin,Citrus London Dry Gin,1 Flasche,Unbekannt,100%,,Trocken | Zitrisch | Fruchtig | Kräuterig,Cocktailbasis,Gin | London Dry | Citrus Gin,,England | Murcia,"Zitrusbetonter London Dry Gin mit Murcian-Zitrone, Mandarine und süßer Orange. Frisch, klar und elegant für Gin & Tonic, Martini-Varianten oder einen French 75.",,Trocken | Zitrisch | Wacholder | Fruchtig | Kräuterig,Gin & Tonic | Martini | French 75 | Highball | Cocktailbasis,"Mit viel Eis und einem trockenen Tonic servieren; für Cocktails besonders schön in Martini-Varianten oder einem French 75.",
csv-031-fifty-pounds-gin,Fifty Pounds Gin,Fifty Pounds Gin,Gin,London Dry Gin,1 Flasche,Unbekannt,100%,,Trocken | Kräuterig | Zitrisch,Cocktailbasis,Gin | London Dry | Klassisch,,England | London,"Klassischer London Dry Gin mit trockenem Wacholderprofil, Zitrus und feiner Würze. Eine geradlinige, elegante Basis für Gin & Tonic, Martini und Negroni.",,Trocken | Wacholder | Kräuterig | Zitrisch | Würzig,Gin & Tonic | Martini | Negroni | Cocktailbasis,"Sehr gut mit trockenem Tonic und Zitronenzeste; für klassische Drinks wie Martini oder Negroni verwenden.",
csv-032-hendrick-s-gin,Hendrick’s Gin,Hendrick's,Gin,Scottish Botanical Gin,1 Flasche,Geöffnet,100%,,Floral | Zitrisch | Kräuterig,Cocktailbasis,Gin | Botanical Gin | Floral,,Schottland,"Floraler schottischer Gin mit der typischen Hendrick’s-Signatur aus Gurke und Rose. Weich, frisch und besonders charmant in Gin & Tonic oder Collins-Drinks.",,Floral | Gurke | Rose | Wacholder | Zitrisch | Kräuterig,Gin & Tonic | Collins | Highball | Cocktailbasis,"Mit Tonic, viel Eis und Gurkenscheibe servieren; auch passend für leichte Collins-Varianten.",
csv-033-kyro-gin,Kyrö Gin,Kyrö Distillery,Gin,Finnish Rye Gin,1 Flasche,Unbekannt,100%,,Trocken | Kräuterig | Zitrisch,Cocktailbasis,Gin | Nordic Gin | Rye Gin,,Finnland,"Finnischer Rye Gin mit Roggenbasis und nordischen Wildkräutern. Kräuterig, frisch und leicht würzig – sehr schön für aromatische Gin & Tonics.",,Trocken | Kräuterig | Würzig | Zitrisch | Wacholder,Gin & Tonic | Highball | Cocktailbasis,"Mit trockenem Tonic, viel Eis, Cranberries und einem Zweig Rosmarin servieren.",
csv-034-le-tribute-gin,Le Tribute Gin,MG Destilerías,Gin,Mediterranean Citrus Gin,1 Flasche,Unbekannt,100%,,Trocken | Zitrisch | Kräuterig,Cocktailbasis,Gin | Mediterran | Citrus Gin,,Spanien,"Mediterraner Gin mit markanter Zitrusfrische, Lemongrass, Wacholder und mediterranen Früchten. Klar, trocken und ideal für elegante Gin & Tonics.",,Trocken | Zitrisch | Wacholder | Frisch | Kräuterig,Gin & Tonic | Highball | Fizz | Cocktailbasis,"Mit Premium-Tonic, viel Eis und einer Zitruszeste servieren; auch passend für frische Fizz-Varianten.",
csv-035-needle-gin,Needle Gin,Bimmerle / Needle,Gin,Black Forest Dry Gin,1 Flasche,Unbekannt,100%,,Trocken | Kräuterig,Cocktailbasis,Gin | Dry Gin | Herbal Gin,,Deutschland | Schwarzwald,"Schwarzwald Dry Gin mit Wacholder und Fichtennadeln. Trocken, kräuterig und harzig-frisch – ein guter Kandidat für herbe Gin & Tonics.",,Trocken | Wacholder | Kräuterig | Harzig | Würzig,Gin & Tonic | Highball | Cocktailbasis,Mit trockenem Tonic und Grapefruit- oder Zitronenzeste servieren.,
csv-036-no-3-london-dry-gin,No.3 London Dry Gin,Berry Bros. & Rudd,Gin,London Dry Gin,1 Flasche,Unbekannt,100%,,Trocken | Zitrisch | Kräuterig,Cocktailbasis,Gin | London Dry | Klassisch,,England | Niederlande,"Geradliniger London Dry Gin mit Wacholder, Zitrus und Gewürzstruktur. Präzise, trocken und besonders stark in Martini, Gin & Tonic und klassischen Gin-Cocktails.",,Trocken | Wacholder | Zitrisch | Würzig | Kräuterig,Martini | Gin & Tonic | Negroni | Cocktailbasis,"Für einen klaren Martini gut kühlen; im Gin & Tonic mit neutralem Tonic und Zitronenzeste servieren.",
csv-037-roku-japanese-craft-gin,Roku Japanese Craft Gin,House of Suntory,Gin,Japanese Craft Gin,1 Flasche,Unbekannt,100%,,Trocken | Zitrisch | Floral,Cocktailbasis,Gin | Japanese Gin | Botanical Gin,,Japan,"Japanischer Craft Gin mit sechs japanischen Botanicals wie Sakura, Tee, Sansho und Yuzu. Ausbalanciert, feinwürzig und elegant frisch.",,Trocken | Zitrisch | Floral | Tee | Würzig | Wacholder,Gin & Tonic | Highball | Fizz | Cocktailbasis,"Mit Tonic und einer dünnen Ingwer- oder Zitruszeste servieren; auch schön in leichten Highballs.",
csv-038-tanqueray-london-dry-gin,Tanqueray London Dry Gin,Tanqueray,Gin,London Dry Gin,2 Flaschen,Unbekannt,100%,,Trocken | Zitrisch | Kräuterig,Cocktailbasis,Gin | London Dry | Klassisch,,Schottland | England,"Klassischer London Dry Gin mit trockenem Wacholder, leichter Zitrusfrische und klarer Struktur. Vielseitig für Gin & Tonic, Martini und Negroni.",,Trocken | Wacholder | Zitrisch | Kräuterig | Würzig,Gin & Tonic | Martini | Negroni | Cocktailbasis,"Mit trockenem Tonic, viel Eis und Limettenspalte servieren; für klassische Gin-Cocktails universell einsetzbar.",
csv-039-tanqueray-no-ten,Tanqueray No. Ten,Tanqueray,Gin,Citrus Gin,1 Flasche,Unbekannt,100%,,Trocken | Zitrisch | Floral,Cocktailbasis,Gin | Citrus Gin | Premium Gin,,Schottland | England,"Zitrusbetonter Premium-Gin mit Grapefruit, Orange, Limette, Wacholder und Kamille. Sehr elegant für Martini, Gimlet, White Lady und feine Gin & Tonics.",,Trocken | Zitrisch | Grapefruit | Wacholder | Floral,Martini | Gin & Tonic | White Lady | Gimlet | Cocktailbasis,Gut gekühlt in Martinis oder mit trockenem Tonic und Grapefruitzeste servieren.,
csv-040-ukiyo-blossom-gin,Ukiyo Blossom Gin,Ukiyo Spirits,Gin,Japanese Blossom Gin,1 Flasche,Unbekannt,100%,,Floral | Zitrisch,Spritz | Cocktailbasis,Gin | Japanese Gin | Floral,,Japan,"Floraler japanischer Gin mit Sakura-Blüte und Sakura-Blatt. Zart, frisch und leicht parfümiert – schön für elegante Gin & Tonics und leichte Highballs.",,Floral | Sakura | Zitrisch | Wacholder | Frisch,Gin & Tonic | Highball | Spritz | Cocktailbasis,"Mit Premium-Tonic und einer dezenten Zitruszeste servieren; nicht zu stark übergarnieren.",
csv-041-ukiyo-nashi-pear-gin,Ukiyo Nashi Pear Gin,Ukiyo Spirits,Gin,Japanese Nashi Pear Gin,1 Flasche,Unbekannt,100%,,Fruchtig | Zitrisch | Floral,Cocktailbasis,Gin | Japanese Gin | Fruit-forward Gin,,Japan,"Japanischer Gin mit frischer Nashi-Birne, feiner Frucht und leichter floraler Frische. Zugänglich, saftig und gut für helle, frische Highballs.",,Fruchtig | Birne | Zitrisch | Floral | Wacholder,Gin & Tonic | Highball | Fizz | Cocktailbasis,"Mit Tonic oder Soda und einer Birnen- oder Zitronenzeste servieren; auch passend für fruchtige Gin-Fizzes.",
csv-042-ukiyo-tokyo-dry-gin,Ukiyo Tokyo Dry Gin,Ukiyo Spirits,Gin,Tokyo Dry Gin,1 Flasche,Unbekannt,100%,,Trocken | Zitrisch | Kräuterig,Cocktailbasis,Gin | Japanese Gin | Dry Gin,,Japan | Chiba,"Trockener japanischer Gin mit Yuzu, Mikan, Sakura und Sansho. Klar, würzig und zitrisch – eine gute japanische Basis für G&T, Martini und Highballs.",,Trocken | Wacholder | Zitrisch | Kräuterig | Würzig,Gin & Tonic | Martini | Highball | Cocktailbasis,"Mit trockenem Tonic und Yuzu- oder Zitronenzeste servieren; für einen trockenen Martini gut kühlen.",
csv-043-ukiyo-yuzu-gin,Ukiyo Yuzu Gin,Ukiyo Spirits,Gin,Japanese Yuzu Gin,1 Flasche,Unbekannt,100%,,Zitrisch | Kräuterig,Cocktailbasis,Gin | Japanese Gin | Citrus Gin,,Japan,"Japanischer Yuzu Gin mit klarer Zitrusfrische, feiner Bitterkeit und kräuterigen Noten. Hell, lebendig und ideal für erfrischende Highballs.",,Zitrisch | Yuzu | Wacholder | Kräuterig | Frisch,Gin & Tonic | Highball | Fizz | Cocktailbasis,"Mit Tonic oder Soda, viel Eis und einer Zitruszeste servieren; sehr passend für spritzige Sommerdrinks.",
csv-044-ungava-canadian-premium-gin,Ungava Canadian Premium Gin,Ungava Spirits,Gin,Canadian Arctic Gin,1 Flasche,Geöffnet,100%,,Kräuterig | Fruchtig | Floral,Cocktailbasis,Gin | Canadian Gin | Botanical Gin,,Kanada | Québec,"Kanadischer Gin mit arktischen Botanicals aus Nord-Québec. Kräuterig, wildfruchtig und floral mit markanter natürlicher Farbe und eigenständigem Charakter.",,Kräuterig | Wacholder | Fruchtig | Floral | Würzig,Gin & Tonic | Highball | Cocktailbasis,"Mit trockenem Tonic und einer Grapefruit- oder Zitronenzeste servieren; für einfache Highballs bewusst schlank halten.",
csv-045-amarula,Amarula,Amarula,Likör,Cream Liqueur,1 Flasche,Unbekannt,100%,,Süß,Modifier | Digestif,Liqueur | Cream Liqueur,,,"Amarula ist als Likör / Cream Liqueur eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.",,,,,
csv-046-baileys,Baileys,Diageo,Likör,Cream Liqueur,1 Flasche,Unbekannt,100%,,Süß,Modifier | Digestif,Liqueur | Cream Liqueur,,,"Baileys ist als Likör / Cream Liqueur eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.",,,,,
csv-047-batida-de-coco,Batida de Coco,Mangaroca,Likör,Kokos,1 Flasche,Unbekannt,100%,,Süß,Modifier | Digestif | Tiki & Tropical,Liqueur | Tropical Modifier,,,"Batida de Coco ist als Likör / Kokos eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif, Tiki & Tropical.",,,,,
csv-048-apricot-brandy,Apricot Brandy,Bols,Cognac / Brandy,Brandy,1 Flasche,Unbekannt,100%,,Fruchtig | Süß | Trocken,Pur | Digestif | Spirit-Forward | Cocktailbasis,Brandy,,,"Kuratierter Cognac-/Brandy-Eintrag für Digestif, pur und klassische Brandy-Cocktails.",,,,,
csv-049-cherry-brandy,Cherry Brandy,Bols,Cognac / Brandy,Brandy,1 Flasche,Unbekannt,100%,,Fruchtig | Süß | Trocken,Pur | Digestif | Spirit-Forward | Cocktailbasis,Brandy,,,"Kuratierter Cognac-/Brandy-Eintrag für Digestif, pur und klassische Brandy-Cocktails.",,,,,
csv-050-creme-de-cacao-brown,Crème de Cacao Brown,Bols,Likör,Kakao,1 Flasche,Unbekannt,100%,,Süß,Modifier | Digestif,Liqueur | Chocolate Liqueur,,,"Crème de Cacao Brown ist als Likör / Kakao eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.",,,,,
csv-051-creme-de-cacao-white,Crème de Cacao White,Bols,Likör,Kakao,1 Flasche,Unbekannt,100%,,Süß,Modifier | Digestif,Liqueur | Chocolate Liqueur,,,"Crème de Cacao White ist als Likör / Kakao eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.",,,,,
csv-052-maraschino,Maraschino,Bols,Likör,Maraschino,1 Flasche,Unbekannt,100%,,Süß,Modifier | Digestif,Liqueur,,,"Maraschino ist als Likör / Maraschino eingeordnet. Geschmack: Süß. Nutzung: Modifier, Digestif.",,,,,
csv-053-peach,Peach,Bols,Likör,Fruchtlikör,1 Flasche,Unbekannt,100%,,Süß | Fruchtig,Modifier | Digestif,Liqueur,,,"Peach ist als Likör / Fruchtlikör eingeordnet. Geschmack: Süß, Fruchtig. Nutzung: Modifier, Digestif.",,,,,
csv-054-sour-apple,Sour Apple,Bols,Likör,Fruchtlikör,1 Flasche,Geöffnet,100%,,Süß | Fruchtig,Modifier | Digestif,Liqueur,,,"Sour Apple ist als Likör / Fruchtlikör eingeordnet. Geschmack: Süß, Fruchtig. Nutzung: Modifier, Digestif.",,,,,
csv-055-triple-sec,Triple Sec,Bols,Likör,Triple Sec,1 Flasche,Geöffnet,100%,,Süß | Zitrisch | Fruchtig | Trocken,Modifier | Digestif | Frisch & Sour,Liqueur | Orange Liqueur,,,"Triple Sec ist als Likör / Triple Sec eingeordnet. Geschmack: Süß, Zitrisch, Fruchtig, Trocken. Nutzung: Modifier, Digestif, Frisch & Sour.",,,,,
